15:26:45  INFO      Run directory : logs/20260323_152645_github.com
15:26:45  INFO      Target URL    : https://github.com
15:26:46  INFO      Launching browser and navigating ...
15:26:52  DEBUG     Page title: GitHub · Change is constant. GitHub keeps you ahead. · GitHub
15:26:52  INFO      Extracting interactive elements ...
15:26:52  INFO      Found 84 element(s)
15:26:52  DEBUG       [el_0] <a> selector='[data-ai-id="el_0"]'  text='Skip to content'
15:26:52  DEBUG       [el_1] <a> selector='[data-ai-id="el_1"]'  text='join the product roadmap webinar'
15:26:52  DEBUG       [el_2] <button> selector='[data-ai-id="el_2"]'  text=''
15:26:52  DEBUG       [el_3] <a> selector='[data-ai-id="el_3"]'  text=''
15:26:52  DEBUG       [el_4] <a> selector='[data-ai-id="el_4"]'  text='Sign in'
15:26:52  DEBUG       [el_5] <button> selector='[data-ai-id="el_5"]'  text='Platform'
15:26:52  DEBUG       [el_6] <button> selector='[data-ai-id="el_6"]'  text='Solutions'
15:26:52  DEBUG       [el_7] <button> selector='[data-ai-id="el_7"]'  text='Resources'
15:26:52  DEBUG       [el_8] <button> selector='[data-ai-id="el_8"]'  text='Open Source'
15:26:52  DEBUG       [el_9] <button> selector='[data-ai-id="el_9"]'  text='Enterprise'
15:26:52  DEBUG       [el_10] <button> selector='[data-ai-id="el_10"]'  text=''
15:26:52  DEBUG       [el_11] <input> selector='[data-ai-id="el_11"]'  text=''
15:26:52  DEBUG       [el_12] <button> selector='[data-ai-id="el_12"]'  text=''
15:26:52  DEBUG       [el_13] <button> selector='[data-ai-id="el_13"]'  text=''
15:26:52  DEBUG       [el_14] <textarea> selector='[data-ai-id="el_14"]'  text=''
15:26:52  DEBUG       [el_15] <input> selector='[data-ai-id="el_15"]'  text='on'
15:26:52  DEBUG       [el_16] <button> selector='[data-ai-id="el_16"]'  text='Cancel'
15:26:52  DEBUG       [el_17] <button> selector='[data-ai-id="el_17"]'  text='Submit feedback'
15:26:52  DEBUG       [el_18] <button> selector='[data-ai-id="el_18"]'  text=''
15:26:52  DEBUG       [el_19] <input> selector='[data-ai-id="el_19"]'  text='github-ruby'
15:26:52  DEBUG       [el_20] <input> selector='[data-ai-id="el_20"]'  text='(repo:mona/a OR repo:mona/b) AND lang:python'
15:26:52  DEBUG       [el_21] <button> selector='[data-ai-id="el_21"]'  text='Cancel'
15:26:52  DEBUG       [el_22] <button> selector='[data-ai-id="el_22"]'  text='Create saved search'
15:26:52  DEBUG       [el_23] <a> selector='[data-ai-id="el_23"]'  text='Sign up'
15:26:52  DEBUG       [el_24] <a> selector='[data-ai-id="el_24"]'  text='Reload'
15:26:52  DEBUG       [el_25] <a> selector='[data-ai-id="el_25"]'  text='Reload'
15:26:52  DEBUG       [el_26] <a> selector='[data-ai-id="el_26"]'  text='Reload'
15:26:52  DEBUG       [el_27] <button> selector='[data-ai-id="el_27"]'  text=''
15:26:52  DEBUG       [el_28] <input> selector='[data-ai-id="el_28"]'  text='you@domain.com'
15:26:52  DEBUG       [el_29] <button> selector='[data-ai-id="el_29"]'  text='Sign up for GitHub'
15:26:52  DEBUG       [el_30] <a> selector='[data-ai-id="el_30"]'  text='Try GitHub Copilot free'
15:26:52  DEBUG       [el_31] <button> selector='[data-ai-id="el_31"]'  text=''
15:26:52  DEBUG       [el_32] <button> selector='[data-ai-id="el_32"]'  text='Code'
15:26:52  DEBUG       [el_33] <button> selector='[data-ai-id="el_33"]'  text='Plan'
15:26:52  DEBUG       [el_34] <button> selector='[data-ai-id="el_34"]'  text='Collaborate'
15:26:52  DEBUG       [el_35] <button> selector='[data-ai-id="el_35"]'  text='Automate'
15:26:52  DEBUG       [el_36] <button> selector='[data-ai-id="el_36"]'  text='Secure'
15:26:52  DEBUG       [el_37] <button> selector='[data-ai-id="el_37"]'  text='Code'
15:26:52  DEBUG       [el_38] <button> selector='[data-ai-id="el_38"]'  text=''
15:26:52  DEBUG       [el_39] <button> selector='[data-ai-id="el_39"]'  text=''
15:26:52  DEBUG       [el_40] <a> selector='[data-ai-id="el_40"]'  text='Explore GitHub Copilot'
